time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_fraction,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,rollout/ep_len_mean,rollout/ep_rew_mean
112,18,1,2048,,,,,,,,,,,,
69,59,2,4096,0.0,0.0,10,249.75729879140854,-1.0279007256031037e-06,156.24655151367188,1e-06,0.2,-1.6094379253685474,0.0,,
62,98,3,6144,0.0,5.960464477539063e-08,20,0.7826244821771979,-1.6025238437578083e-06,0.3838372230529785,1e-06,0.2,-1.6094379067420959,0.0,,
59,138,4,8192,0.0,-1.1920928955078125e-07,30,0.7877119086682797,-4.199107934255153e-07,0.43623489141464233,1e-06,0.2,-1.6094379112124444,0.0,,
56,180,5,10240,0.0,0.0,40,2.029235720820725,-6.00795101490803e-07,1.4327195882797241,1e-06,0.2,-1.6094379093497992,0.0,,
57,214,6,12288,0.0,1.1920928955078125e-07,50,121.33730966448783,-4.317204002290964e-07,51.50883102416992,1e-06,0.2,-1.609437907114625,0.0,,
57,248,7,14336,0.0,0.0,60,0.917688019387424,-3.3110700314864516e-07,0.35562366247177124,1e-06,0.2,-1.6094379115849733,0.0,,
58,282,8,16384,0.0,0.0,70,0.8487800441682338,-1.5593075659126044e-06,0.3648450970649719,1e-06,0.2,-1.6094379141926765,0.0,16184.0,475.0
57,318,9,18432,0.0,-1.1920928955078125e-07,80,108.01182493381202,-4.2448955355212093e-07,49.17808151245117,1e-06,0.2,-1.6094379112124444,0.0,16184.0,475.0
56,362,10,20480,0.0,-1.1920928955078125e-07,90,220.79789378643036,-1.314561814069748e-07,121.93206787109375,1e-06,0.2,-1.6094379059970378,0.0,16184.0,475.0
56,397,11,22528,0.0,-1.1920928955078125e-07,100,0.7827725263312459,-9.485316695645451e-07,0.4190182089805603,1e-06,0.2,-1.609437905624509,0.0,16184.0,475.0
54,446,12,24576,0.0,-1.1920928955078125e-07,110,0.788411121815443,-1.9216407963540404e-06,0.35434073209762573,1e-06,0.2,-1.6094379093497992,0.0,16184.0,475.0
54,484,13,26624,0.0,1.7881393432617188e-07,120,0.7840902527794242,-1.5895246178843081e-06,0.3615933656692505,1e-06,0.2,-1.609437921643257,0.0,16184.0,475.0
54,522,14,28672,0.0,0.0,130,124.58519399166107,-1.8254795577377081e-07,28.188879013061523,1e-06,0.2,-1.6094379182904959,0.0,16184.0,475.0
