rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/approx_kl,train/clip_range,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/policy_gradient_loss
122.21212121212122,1059.090909090909,44,91,4096,1,,,,,,,,,,
122.74242424242425,1100.4848484848485,36,226,8192,2,4.2803003e-07,0.2,1e-05,-1.5460427306592464,20592.15314331055,9331.97265625,5500,0.0,0.0,-3.354119835421443e-05
126.25,1145.75,34,356,12288,3,1.70563e-07,0.2,1e-05,-1.5457731399685144,22122.344018554686,9851.4326171875,5510,0.0,0.0,-1.4447006105910986e-05
130.6,1205.64,33,486,16384,4,4.0102168e-07,0.2,1e-05,-1.5455508790910244,21941.73616333008,10478.28125,5520,0.0,0.0,-2.5022179033840076e-05
133.94,1216.69,33,617,20480,5,4.882895e-07,0.2,1e-05,-1.5452831599861383,21549.976489257813,11560.49609375,5530,0.0,0.0,-3.6312409065430984e-05
129.66,1191.16,32,747,24576,6,5.324546e-07,0.2,1e-05,-1.5449792683124541,21361.35239562988,12475.6826171875,5540,0.0,0.0,-3.628386984928511e-05
122.3,1135.51,32,879,28672,7,3.241439e-07,0.2,1e-05,-1.5446920618414879,23473.784057617188,11096.5380859375,5550,0.0,0.0,-2.5128701236099004e-05
123.23,1166.01,32,1010,32768,8,1.446897e-07,0.2,1e-05,-1.5444781806319952,23073.852471923827,11280.9404296875,5560,0.0,0.0,-1.1436241038609296e-05
127.03,1188.42,32,1143,36864,9,3.3839024e-07,0.2,1e-05,-1.544243424758315,23231.59963378906,11065.46875,5570,0.0,0.0,-2.9381297645159064e-05
129.69,1209.49,32,1275,40960,10,3.0294177e-07,0.2,1e-05,-1.5439595874398946,22712.55405883789,12822.0576171875,5580,0.0,0.0,-2.249099561595358e-05
132.01,1226.25,32,1406,45056,11,6.480841e-07,0.2,1e-05,-1.5436503469944,22415.44623413086,11440.58984375,5590,0.0,0.0,-4.696550822700374e-05
132.38,1221.81,31,1537,49152,12,3.4057302e-07,0.2,1e-05,-1.5433451637625695,22388.886779785156,10695.923828125,5600,0.0,0.0,-2.2829732188256457e-05
134.23,1222.15,31,1668,53248,13,2.0915468e-07,0.2,1e-05,-1.5431066080927849,21384.27534790039,9659.2421875,5610,0.0,0.0,-1.7314354772679506e-05
129.8,1198.16,31,1799,57344,14,7.241033e-08,0.2,1e-05,-1.5429388590157032,21428.093188476563,11062.8896484375,5620,0.0,0.0,-4.0706505387788635e-06
128.09,1187.34,31,1934,61440,15,1.16138835e-07,0.2,1e-05,-1.5427954364567995,24723.124090576173,11886.095703125,5630,0.0,1.1920928955078125e-07,-9.41193211474456e-06
