time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/value_loss,train/explained_variance,train/n_updates,train/approx_kl,train/loss,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/learning_rate
80,50,149.40740740740742,4096,1,610.4074074074074,,,,,,,,,,
60,135,140.20689655172413,8192,2,581.3965517241379,5419.470054626465,0.0,10,1.5449768e-07,3061.7724609375,0.2,-8.86775233084336e-06,-1.6094378869980575,0.0,1e-05
56,217,138.38636363636363,12288,3,575.7272727272727,5701.121862792968,-1.1920928955078125e-07,20,1.1330121e-07,2806.31640625,0.2,-7.329439540626481e-06,-1.609437781572342,0.0,1e-05
54,299,134.9,16384,4,568.11,5833.567578125,0.0,30,6.3402695e-08,3227.56982421875,0.2,-3.4129974665120243e-06,-1.6094376105815171,0.0,1e-05
53,381,137.65,20480,5,580.32,5528.799876403808,-1.1920928955078125e-07,40,3.3603283e-07,2817.76220703125,0.2,-2.042763226199895e-05,-1.6094374023377895,0.0,1e-05
52,464,141.85,24576,6,600.85,5976.681382751465,5.960464477539063e-08,50,2.4883775e-08,3146.27099609375,0.2,-1.5008168702479453e-06,-1.6094370257109403,0.0,1e-05
50,566,141.94,28672,7,601.72,5979.208288574218,0.0,60,1.5468686e-07,2859.82568359375,0.2,-8.47208357299678e-06,-1.609436621516943,0.0,1e-05
50,648,139.84,32768,8,586.83,5559.807438659668,5.960464477539063e-08,70,2.4765905e-07,3068.37548828125,0.2,-1.3753441453445703e-05,-1.6094358064234258,0.0,1e-05
50,733,141.08,36864,9,578.58,5375.979696655273,0.0,80,1.3850513e-07,2799.296875,0.2,-8.712285489309578e-06,-1.6094344541430474,0.0,1e-05
50,816,136.91,40960,10,554.51,5496.449885559082,-1.1920928955078125e-07,90,3.5857374e-07,2944.385009765625,0.2,-2.2337210248224436e-05,-1.6094330061227082,0.0,1e-05
50,899,144.2,45056,11,582.15,5308.337538146972,0.0,100,7.437484e-08,2528.154052734375,0.2,-4.167908264207653e-06,-1.609432015940547,0.0,1e-05
49,986,138.02,49152,12,565.23,5232.526985168457,-1.1920928955078125e-07,110,1.3737008e-07,2806.212890625,0.2,-7.75777516537346e-06,-1.6094310004264116,0.0,1e-05
49,1073,145.25,53248,13,592.67,5529.95655670166,0.0,120,1.4652323e-07,2559.813720703125,0.2,-8.483828423777595e-06,-1.6094300638884307,0.0,1e-05
49,1157,146.83,57344,14,602.39,5498.597785949707,0.0,130,1.8753053e-07,2863.332763671875,0.2,-1.196988669107668e-05,-1.6094285160303117,0.0,1e-05
49,1241,148.89,61440,15,604.16,5785.594578552246,-1.1920928955078125e-07,140,2.4680048e-07,2760.958984375,0.2,-1.658165165281389e-05,-1.6094265531748533,0.0,1e-05
49,1324,145.34,65536,16,585.68,5390.953067016601,0.0,150,2.9959483e-07,3192.83642578125,0.2,-1.8419047410134227e-05,-1.6094249617308378,0.0,1e-05
49,1409,143.07,69632,17,585.38,5599.885208129883,0.0,160,3.9418228e-07,2801.013427734375,0.2,-2.4970151571324095e-05,-1.6094229824841022,0.0,1e-05
49,1493,142.15,73728,18,582.86,5769.6048934936525,0.0,170,1.9557774e-07,2902.1748046875,0.2,-1.1756009917007759e-05,-1.6094198804348707,0.0,1e-05
49,1579,142.48,77824,19,585.68,5446.930151367187,0.0,180,2.3053144e-07,2888.685791015625,0.2,-1.3588874935521744e-05,-1.6094163876026868,0.0,1e-05
49,1663,140.09,81920,20,589.08,5686.227600097656,-1.1920928955078125e-07,190,1.4030957e-07,2916.138916015625,0.2,-8.224891644204035e-06,-1.6094133041799068,0.0,1e-05
49,1747,143.59,86016,21,591.08,5754.0149795532225,5.960464477539063e-08,200,1.2524833e-07,2750.42626953125,0.2,-7.31398758944124e-06,-1.6094119444489479,0.0,1e-05
49,1831,140.97,90112,22,582.81,5622.773806762695,0.0,210,5.0713425e-07,2644.828125,0.2,-3.224583342671394e-05,-1.6094087462872266,0.0,1e-05
49,1917,148.03,94208,23,588.84,5579.139288330078,0.0,220,3.7283462e-07,2978.09814453125,0.2,-2.384698746027425e-05,-1.6094031054526567,0.0,1e-05
49,2001,149.39,98304,24,599.37,5140.059308624268,0.0,230,1.9039726e-07,2293.963623046875,0.2,-1.2122302359784954e-05,-1.609399589523673,0.0,1e-05
49,2086,150.04,102400,25,609.12,5529.70495300293,0.0,240,1.720764e-07,2629.985595703125,0.2,-1.1409141006879508e-05,-1.6093979254364967,0.0,1e-05
49,2171,146.05,106496,26,606.75,6020.7513671875,5.960464477539063e-08,250,1.0052463e-07,2866.87890625,0.2,-5.835511547047645e-06,-1.609398390725255,0.0,1e-05
49,2255,147.14,110592,27,606.6,5715.622698974609,-1.1920928955078125e-07,260,4.3949694e-07,3113.8828125,0.2,-2.7885427698493004e-05,-1.6093972697854042,0.0,1e-05
49,2339,146.5,114688,28,606.74,5258.705323791504,-1.1920928955078125e-07,270,2.6960333e-07,2395.784423828125,0.2,-1.612747582839802e-05,-1.6093926694244147,0.0,1e-05
49,2423,145.49,118784,29,590.52,5823.739427185059,0.0,280,2.1482992e-07,2528.710205078125,0.2,-1.4554923109244555e-05,-1.6093887686729431,0.0,1e-05
49,2507,142.93,122880,30,590.12,5743.500627136231,0.0,290,1.6098784e-07,2699.5888671875,0.2,-9.563282947055996e-06,-1.609384547173977,0.0,1e-05
49,2591,142.46,126976,31,593.8,5730.490872192383,-1.1920928955078125e-07,300,2.515735e-07,2659.5107421875,0.2,-1.586047510500066e-05,-1.6093777034431695,0.0,1e-05
49,2674,145.4,131072,32,605.44,5759.689877319336,0.0,310,1.5084515e-07,2812.40673828125,0.2,-1.000899646896869e-05,-1.6093716014176607,0.0,1e-05
48,2759,146.29,135168,33,610.25,5830.341581726074,0.0,320,2.8200157e-07,2733.107177734375,0.2,-1.8462989100953563e-05,-1.6093653481453658,0.0,1e-05
48,2847,144.64,139264,34,604.97,5672.913977050781,0.0,330,1.4336547e-07,2811.568115234375,0.2,-9.034056347445585e-06,-1.6093572806566954,0.0,1e-05
48,2931,145.82,143360,35,600.75,5697.123457336425,0.0,340,1.9061554e-07,2517.0400390625,0.2,-1.1286637891316786e-05,-1.609351209923625,0.0,1e-05
48,3016,140.17,147456,36,590.13,5996.474180603027,0.0,350,2.2744644e-07,2713.8310546875,0.2,-1.4300047769211233e-05,-1.6093447126448155,0.0,1e-05
48,3099,142.56,151552,37,594.64,5876.028129577637,5.960464477539063e-08,360,3.019377e-07,2862.531494140625,0.2,-1.8059952708426863e-05,-1.6093391407281161,0.0,1e-05
48,3183,142.52,155648,38,603.02,5747.2120910644535,0.0,370,1.4818215e-07,2722.060302734375,0.2,-1.0153504263143986e-05,-1.6093346752226352,0.0,1e-05
48,3270,143.05,159744,39,599.99,5799.985766601562,0.0,380,2.0451262e-07,3318.598388671875,0.2,-1.290091204282362e-05,-1.6093276280909776,0.0,1e-05
48,3355,142.6,163840,40,595.42,5889.582220458984,0.0,390,8.8868546e-08,2814.285888671875,0.2,-4.383184568723664e-06,-1.6093207597732544,0.0,1e-05
48,3439,138.94,167936,41,583.39,5840.031002807617,0.0,400,1.5785918e-07,3013.63037109375,0.2,-9.763316484168172e-06,-1.6093147937208414,0.0,1e-05
48,3523,135.11,172032,42,566.36,5873.868244934082,1.1920928955078125e-07,410,5.0598464e-07,2997.5439453125,0.2,-3.220271828467958e-05,-1.60930585116148,0.0,1e-05
48,3608,136.76,176128,43,577.04,5551.889315795898,0.0,420,1.3454701e-07,2836.9423828125,0.2,-8.428515502600931e-06,-1.609295855090022,0.0,1e-05
48,3693,139.23,180224,44,594.61,5955.721702575684,0.0,430,1.3316458e-07,3038.47802734375,0.2,-7.154328341130167e-06,-1.6092881198972464,0.0,1e-05
48,3779,139.73,184320,45,593.64,5919.939392089844,5.960464477539063e-08,440,1.2631062e-07,3261.071044921875,0.2,-7.617690062033944e-06,-1.6092835653573274,0.0,1e-05
48,3864,141.16,188416,46,594.87,5586.921321105957,0.0,450,2.6338967e-07,2665.654052734375,0.2,-1.6308485646732153e-05,-1.6092769242823124,0.0,1e-05
48,3949,136.89,192512,47,571.43,5184.150073242187,-1.1920928955078125e-07,460,1.16211595e-07,2534.67822265625,0.2,-6.370932533172891e-06,-1.6092672560364008,0.0,1e-05
48,4033,138.14,196608,48,563.06,5960.308897399902,5.960464477539063e-08,470,2.845918e-07,3081.1982421875,0.2,-1.8276723858434706e-05,-1.609257822483778,0.0,1e-05
48,4117,136.31,200704,49,574.62,5406.901501464844,0.0,480,1.7814455e-07,2862.478759765625,0.2,-1.0165181447518989e-05,-1.6092456191778184,0.0,1e-05
48,4202,139.19,204800,50,575.89,5719.759893798828,5.960464477539063e-08,490,2.7992064e-07,3014.048828125,0.2,-1.749646180542186e-05,-1.609236455336213,0.0,1e-05
48,4287,141.4,208896,51,585.37,5444.663703918457,0.0,500,1.1239899e-07,2659.1787109375,0.2,-7.4334966484457254e-06,-1.6092288721352817,0.0,1e-05
